#snid, snra, sndec, z, t0, c, x1, x0, mag_u, mag_g, mag_r, mag_i, mag_z, mag_y
2045958, 8.533871e-02, 2.607300e-01, 1.9977, 570089.8790, 5.355234e-02, -3.6435, 2.860411e-07, 38.0888, 36.4069, 31.5570, 30.2065, 30.5120, nan
10342097, 8.896703e-02, 2.607238e-01, 1.1275, 570117.6414, -5.517173e-01, 5.7414, 1.414066e-06, 22.7667, nan, 25.5456, 26.2381, 25.7658, 25.6511
15816490, 8.908595e-02, 2.605999e-01, 1.2994, 570159.3817, 1.517792e-01, 3.7115, 1.202910e-06, 34.0807, 31.0574, 28.0166, 26.0602, 24.8706, 24.5142
12221542, 8.898240e-02, 2.635316e-01, 3.4655, 570248.6627, -3.613803e-01, -0.2162, 5.078658e-08, 38.5375, nan, nan, nan, nan, nan
17357122, 8.548443e-02, 2.606276e-01, 2.5711, 570233.6168, 3.961262e-02, -0.5245, 1.621600e-07, nan, nan, nan, nan, nan, nan
15953230, 8.515362e-02, 2.607274e-01, 0.2338, 570138.3565, 6.388533e-01, 0.2007, 6.083237e-05, 28.4798, 24.0715, 21.9732, 20.9566, 20.9448, 20.8445
3353584, 8.508039e-02, 2.606621e-01, 2.0790, 570240.3132, -2.170236e-01, 4.4783, 3.254859e-07, nan, nan, 51.3847, 50.1759, 51.9925, 50.2927
6425989, 8.953957e-02, 2.604068e-01, 0.3384, 570194.4992, 5.301086e-01, -1.1888, 3.210934e-05, nan, nan, nan, 27.3353, 26.3193, 25.8222
6197349, 8.529076e-02, 2.605332e-01, 1.0468, 570228.8672, 2.991030e-02, -0.1135, 1.828639e-06, nan, nan, nan, nan, 54.4482, 53.6824
13528742, 8.572480e-02, 2.604360e-01, 1.1066, 570148.8763, -2.844646e-01, -0.7448, 1.594557e-06, nan, 27.1791, 26.7914, 25.6408, 25.0198, 24.9395
2442775, 8.573487e-02, 2.605085e-01, 3.0565, 570131.1740, -1.608110e-01, -1.6251, 1.561638e-07, 40.0548, nan, nan, nan, 29.6532, 28.9790
45616, 8.534903e-02, 2.609907e-01, 0.5016, 570132.2989, 9.148908e-02, 2.7805, 7.349031e-06, nan, 27.2408, 25.0214, 24.0658, 23.5904, 23.5135
17081836, 8.944301e-02, 2.632862e-01, 2.1173, 570139.3507, 2.558385e-01, 4.4156, 2.576093e-07, 40.0489, 40.1617, nan, nan, nan, 28.2046
3672602, 8.635593e-02, 2.602747e-01, 1.4364, 570156.9855, -5.860795e-01, -2.1242, 7.300005e-07, 19.6459, 22.2462, nan, 26.0282, 25.5211, 25.1247
7817980, 8.632466e-02, 2.607879e-01, 0.5876, 570078.4318, 1.801572e-02, -1.1153, 7.661675e-06, 30.9316, 28.7296, 26.8434, 25.9679, 25.2253, 25.1558
7263698, 8.575438e-02, 2.610334e-01, 3.5136, 570097.4849, 4.346194e-01, 3.3698, 1.107846e-07, 51.3654, nan, nan, nan, nan, 39.8579
12137579, 8.574557e-02, 2.609581e-01, 0.6338, 570091.4656, -2.087904e-01, -1.9916, 1.065111e-05, 26.6102, 26.2264, 26.4870, 25.8845, 25.2769, 25.2442
101379, 8.586001e-02, 2.608611e-01, 0.4179, 570236.2527, -2.209909e-01, 1.6359, 1.552205e-05, 48.1362, nan, 48.7918, 49.0497, 49.1628, 48.7094
16310453, 8.570951e-02, 2.605275e-01, 1.8089, 570131.8574, -3.931438e-01, -5.1409, 3.924665e-07, nan, nan, nan, nan, nan, nan
12597716, 8.939700e-02, 2.607343e-01, 2.0245, 570258.7521, 8.046560e-02, -6.5438, 4.212795e-07, nan, nan, nan, nan, nan, nan
7010511, 8.569354e-02, 2.638673e-01, 0.6865, 570100.8358, -1.543436e-01, -0.7837, 1.160999e-05, 27.4610, 26.6160, 26.1406, 25.4364, 24.9526, 24.5283
