#snid, snra, sndec, z, t0, c, x1, x0, mag_u, mag_g, mag_r, mag_i, mag_z, mag_y
10342097, 8.896703e-02, 2.607238e-01, 1.1275, 570117.6414, -5.517173e-01, 5.7414, 1.414066e-06, 22.9596, nan, nan, 26.6568, 26.0819, 25.8365
15816490, 8.908595e-02, 2.605999e-01, 1.2994, 570159.3817, 1.517792e-01, 3.7115, 1.202910e-06, 34.5656, 32.8118, 28.8709, 26.1710, 25.0199, 24.5604
12221542, 8.898240e-02, 2.635316e-01, 3.4655, 570248.6627, -3.613803e-01, -0.2162, 5.078658e-08, nan, nan, nan, nan, nan, nan
7263698, 8.575438e-02, 2.610334e-01, 3.5136, 570097.4849, 4.346194e-01, 3.3698, 1.107846e-07, nan, nan, nan, nan, nan, nan
12137579, 8.574557e-02, 2.609581e-01, 0.6338, 570091.4656, -2.087904e-01, -1.9916, 1.065111e-05, 27.0846, 26.4629, 26.5533, 25.9259, 25.3189, 25.2628
101379, 8.586001e-02, 2.608611e-01, 0.4179, 570236.2527, -2.209909e-01, 1.6359, 1.552205e-05, 48.1362, nan, 48.7918, 49.0497, 49.1628, 48.7094
13434942, 8.891291e-02, 2.636513e-01, 1.0832, 570272.5238, -3.270148e-01, -3.0799, 2.082790e-06, nan, nan, nan, 51.0039, nan, nan
6425989, 8.953957e-02, 2.604068e-01, 0.3384, 570194.4992, 5.301086e-01, -1.1888, 3.210934e-05, 31.0830, 25.0655, 23.9011, 23.2660, 22.7058, 22.6901
7194718, 8.614067e-02, 2.608921e-01, 1.4113, 570146.8280, 7.072162e-02, -4.6059, 9.211602e-07, nan, nan, 30.3878, nan, 27.6142, nan
17081836, 8.944301e-02, 2.632862e-01, 2.1173, 570139.3507, 2.558385e-01, 4.4156, 2.576093e-07, 40.0543, 40.9443, nan, nan, nan, 28.3813
6065274, 8.584370e-02, 2.612235e-01, 0.6203, 570158.2482, -2.207928e-01, -0.5361, 7.394601e-06, 28.0982, 25.9123, 24.0620, 23.7063, 23.5437, 23.8098
12597716, 8.939700e-02, 2.607343e-01, 2.0245, 570258.7521, 8.046560e-02, -6.5438, 4.212795e-07, nan, nan, nan, nan, nan, nan
2045958, 8.533871e-02, 2.607300e-01, 1.9977, 570089.8790, 5.355234e-02, -3.6435, 2.860411e-07, 38.2904, 36.9086, 31.4803, 29.8476, 30.4446, nan
45616, 8.534903e-02, 2.609907e-01, 0.5016, 570132.2989, 9.148908e-02, 2.7805, 7.349031e-06, nan, 27.5668, 25.3875, 24.3046, 23.6675, 23.5679
13528742, 8.572480e-02, 2.604360e-01, 1.1066, 570148.8763, -2.844646e-01, -0.7448, 1.594557e-06, nan, nan, 27.7939, 26.0877, 25.4386, 25.2226
2442775, 8.573487e-02, 2.605085e-01, 3.0565, 570131.1740, -1.608110e-01, -1.6251, 1.561638e-07, 42.1704, nan, nan, nan, 30.0478, 29.4396
17357122, 8.548443e-02, 2.606276e-01, 2.5711, 570233.6168, 3.961262e-02, -0.5245, 1.621600e-07, nan, nan, nan, nan, nan, nan
15923375, 8.583906e-02, 2.606302e-01, 3.0630, 570274.4295, -5.393401e-01, 4.1734, 1.048933e-07, nan, nan, nan, nan, 46.8560, 47.4225
16310453, 8.570951e-02, 2.605275e-01, 1.8089, 570131.8574, -3.931438e-01, -5.1409, 3.924665e-07, nan, nan, nan, nan, nan, nan
3887673, 8.935108e-02, 2.606968e-01, 0.3123, 570256.2284, 2.357219e-01, 4.6991, 3.266761e-05, 50.6481, 49.2747, 46.9178, 47.2042, 46.5176, 47.4441
15953230, 8.515362e-02, 2.607274e-01, 0.2338, 570138.3565, 6.388533e-01, 0.2007, 6.083237e-05, 28.6234, 24.4267, 22.2846, 21.2250, 21.1350, 20.9606
7010511, 8.569354e-02, 2.638673e-01, 0.6865, 570100.8358, -1.543436e-01, -0.7837, 1.160999e-05, 27.7151, 26.8312, 26.2688, 25.5253, 25.0373, 24.6350
8481405, 8.582894e-02, 2.639030e-01, 1.0233, 570183.9928, 3.242840e-01, 4.7105, 1.392189e-06, 33.5833, 30.6980, 26.7517, 24.7252, 24.4060, 24.3357
16574467, 8.487367e-02, 2.612660e-01, 1.9944, 570146.8390, -1.499786e-01, -5.2141, 3.448102e-07, nan, nan, 28.5028, 27.1717, 28.8769, nan
3353584, 8.508039e-02, 2.606621e-01, 2.0790, 570240.3132, -2.170236e-01, 4.4783, 3.254859e-07, nan, nan, 51.3847, 50.1759, 51.9925, 50.2927
6642785, 8.487233e-02, 2.609397e-01, 0.5162, 570248.5580, 3.414018e-02, -0.2072, 1.562124e-05, nan, nan, nan, 50.3506, 49.6960, 49.0671
10155700, 8.907952e-02, 2.624292e-01, 1.1468, 570083.8227, 2.934688e-01, 2.9835, 1.407249e-06, 37.2361, nan, 30.0214, 29.1504, 27.4000, 26.9199
4517009, 8.495448e-02, 2.609818e-01, 0.3664, 570156.9991, 5.190028e-01, 0.6055, 2.757619e-05, 30.6904, 24.2196, 22.5059, 21.7062, 21.5690, 21.9874
12684012, 8.629696e-02, 2.639783e-01, 2.6112, 570109.0222, -6.387793e-01, -1.5505, 1.321475e-07, nan, nan, nan, 23.0720, 23.2220, 24.5000
6197349, 8.529076e-02, 2.605332e-01, 1.0468, 570228.8672, 2.991030e-02, -0.1135, 1.828639e-06, nan, nan, nan, nan, 54.4482, 53.6824
1893271, 8.618244e-02, 2.600732e-01, 1.6996, 570211.5496, 6.857524e-02, 1.5418, 4.171349e-07, 35.9571, 34.3727, nan, 29.4363, 27.9719, 27.5925
409338, 8.953958e-02, 2.623628e-01, 0.1336, 570270.9958, -2.613429e-01, 2.6800, 2.042339e-04, 45.9354, 46.2450, 46.2162, 46.2236, 46.2270, nan
2279785, 8.493931e-02, 2.610566e-01, 1.1003, 570206.1172, -7.362969e-02, 1.8983, 1.371566e-06, 31.5871, nan, 27.0993, 27.1367, 26.0079, 26.0879
13067087, 8.502174e-02, 2.608630e-01, 1.5686, 570160.1359, 4.462592e-02, -0.2851, 6.813518e-07, 34.4249, 33.2201, 32.5785, 28.2769, 26.6264, 25.7578
3672602, 8.635593e-02, 2.602747e-01, 1.4364, 570156.9855, -5.860795e-01, -2.1242, 7.300005e-07, 21.3964, 23.2094, 24.2314, 26.7045, 25.8366, 25.4832
7817980, 8.632466e-02, 2.607879e-01, 0.5876, 570078.4318, 1.801572e-02, -1.1153, 7.661675e-06, 30.9316, 28.7296, 26.8434, 25.9679, 25.2253, 25.1558
7253194, 8.932303e-02, 2.626019e-01, 0.9883, 570176.1446, 2.854436e-01, -5.4925, 1.866723e-06, 33.2254, 32.2231, 27.1816, 24.7384, 24.0324, 24.1869
4519282, 8.923195e-02, 2.623808e-01, 1.8576, 570241.4995, -1.463841e-01, 1.1978, 3.117068e-07, nan, nan, 53.3464, 52.9344, 52.7682, nan
13926415, 8.513366e-02, 2.609316e-01, 2.4608, 570094.3072, -2.723738e-01, 2.2499, 2.713341e-07, 32.5793, 29.8236, 29.9595, 31.0439, 27.5773, 30.8596
7300361, 8.615598e-02, 2.638981e-01, 3.3820, 570155.5615, -3.265923e-01, 0.4793, 1.098337e-07, 35.3180, 28.4123, 26.5757, 26.9995, 27.1706, 27.2684
2673376, 8.890548e-02, 2.630002e-01, 1.1322, 570118.7914, 1.663724e-01, 5.8424, 1.469537e-06, 35.5328, nan, 32.9276, 27.5107, 26.1352, 25.5486
13242038, 8.633419e-02, 2.604240e-01, 1.7579, 570270.4480, -2.686536e-02, 3.2828, 6.693395e-07, nan, nan, 52.4964, 52.3717, 50.6198, nan
2817638, 8.635024e-02, 2.604599e-01, 0.5017, 570086.8176, 6.160631e-02, -2.1084, 1.642847e-05, 29.1374, 27.9462, 25.9826, 25.0153, 24.4879, 24.6053
16484622, 8.608676e-02, 2.607337e-01, 2.3599, 570247.4406, 1.476910e-01, -1.1800, 2.253361e-07, nan, nan, nan, nan, nan, nan
4188292, 8.651178e-02, 2.608644e-01, 1.7869, 570104.5379, -4.537999e-01, 0.6423, 4.621938e-07, 24.7414, 25.5656, nan, nan, 28.2703, 28.2736
8277490, 8.652553e-02, 2.608568e-01, 2.4477, 570222.1344, 1.414436e-01, 0.6823, 2.230728e-07, 42.4047, 37.9984, 36.0611, nan, nan, 30.6580
5830763, 8.562269e-02, 2.613770e-01, 2.8756, 570180.6081, 5.273409e-02, -0.1654, 1.785279e-07, 40.3976, 34.9221, 33.2059, 32.1186, 31.5058, 30.8671
