#snid, snra, sndec, z, t0, c, x1, x0, mag_u, mag_g, mag_r, mag_i, mag_z, mag_y
3507936, 8.634686e-02, 2.603437e-01, 0.8662, 570065.1132, -9.295503e-02, -1.3341, 3.261936e-06, 30.7861, 27.4007, 29.6448, 27.0730, 26.5311, 26.1685
45616, 8.534903e-02, 2.609907e-01, 0.5016, 570132.2989, 9.148908e-02, 2.7805, 7.349031e-06, 27.8897, 24.5219, 23.1564, 23.0591, 22.8859, 23.1017
2045958, 8.533871e-02, 2.607300e-01, 1.9977, 570089.8790, 5.355234e-02, -3.6435, 2.860411e-07, nan, nan, nan, nan, 30.3025, nan
3672602, 8.635593e-02, 2.602747e-01, 1.4364, 570156.9855, -5.860795e-01, -2.1242, 7.300005e-07, 18.2531, 19.8769, 21.6871, 25.1542, 25.5699, 25.2628
7817980, 8.632466e-02, 2.607879e-01, 0.5876, 570078.4318, 1.801572e-02, -1.1153, 7.661675e-06, 29.6232, 27.9968, 26.4629, 25.7252, 24.8474, 24.9215
10342097, 8.896703e-02, 2.607238e-01, 1.1275, 570117.6414, -5.517173e-01, 5.7414, 1.414066e-06, nan, nan, nan, 24.4568, 24.1480, 24.5414
15816490, 8.908595e-02, 2.605999e-01, 1.2994, 570159.3817, 1.517792e-01, 3.7115, 1.202910e-06, 33.7486, nan, 28.5053, 25.8657, 24.8338, 24.7451
17357122, 8.548443e-02, 2.606276e-01, 2.5711, 570233.6168, 3.961262e-02, -0.5245, 1.621600e-07, nan, nan, nan, nan, nan, nan
8262425, 8.890447e-02, 2.636638e-01, 1.0227, 570057.7005, -3.701349e-01, 3.8946, 1.673671e-06, 28.2921, nan, nan, 27.5268, 26.8902, 26.5460
7263698, 8.575438e-02, 2.610334e-01, 3.5136, 570097.4849, 4.346194e-01, 3.3698, 1.107846e-07, nan, nan, 48.6693, 45.3770, nan, nan
12137579, 8.574557e-02, 2.609581e-01, 0.6338, 570091.4656, -2.087904e-01, -1.9916, 1.065111e-05, 24.6893, 25.7314, 25.9143, 25.3891, 24.5596, 24.5376
101379, 8.586001e-02, 2.608611e-01, 0.4179, 570236.2527, -2.209909e-01, 1.6359, 1.552205e-05, 48.1362, nan, 48.7918, 49.0497, 49.1628, 48.7094
