#snid, snra, sndec, z, t0, c, x1, x0, mag_u, mag_g, mag_r, mag_i, mag_z, mag_y
10342097, 8.896703e-02, 2.607238e-01, 1.1275, 570117.6414, -5.517173e-01, 5.7414, 1.414066e-06, 21.2872, 21.2939, 23.2579, 24.3712, 24.1560, 24.5185
15816490, 8.908595e-02, 2.605999e-01, 1.2994, 570159.3817, 1.517792e-01, 3.7115, 1.202910e-06, 34.5052, nan, 29.1843, 26.4549, 25.3503, 25.1259
4549053, 8.913584e-02, 2.607595e-01, 1.1331, 570034.1503, 1.906507e-01, -1.0927, 1.440504e-06, 37.5447, 33.1740, 32.9500, 29.1151, 27.9227, 27.4123
6425989, 8.953957e-02, 2.604068e-01, 0.3384, 570194.4992, 5.301086e-01, -1.1888, 3.210934e-05, nan, nan, nan, 49.4799, 48.4939, 48.0178
5830763, 8.562269e-02, 2.613770e-01, 2.8756, 570180.6081, 5.273409e-02, -0.1654, 1.785279e-07, 41.5664, 36.7885, 34.8558, 33.5119, 32.0568, 31.5584
45616, 8.534903e-02, 2.609907e-01, 0.5016, 570132.2989, 9.148908e-02, 2.7805, 7.349031e-06, 27.7701, 24.2755, 23.0574, 23.0292, 22.8879, 23.1640
17415592, 8.559451e-02, 2.613684e-01, 6.4596, 570050.9225, 4.502955e-01, -0.8721, 1.106092e-08, nan, nan, nan, nan, nan, nan
4445519, 8.518349e-02, 2.612944e-01, 1.4626, 570173.8037, 1.288973e-01, -0.8554, 8.415983e-07, nan, nan, nan, nan, nan, nan
3014102, 8.518210e-02, 2.615199e-01, 0.9873, 570115.2551, -7.982119e-01, -0.1440, 1.766482e-06, 18.3653, 21.5576, 24.0034, 24.4668, 24.6301, 24.9900
8262425, 8.890447e-02, 2.636638e-01, 1.0227, 570057.7005, -3.701349e-01, 3.8946, 1.673671e-06, 28.2194, nan, nan, 27.2081, 26.7784, 26.3607
16574467, 8.487367e-02, 2.612660e-01, 1.9944, 570146.8390, -1.499786e-01, -5.2141, 3.448102e-07, 29.7039, 28.3915, 27.2997, 29.0598, 30.9352, 26.7049
2045958, 8.533871e-02, 2.607300e-01, 1.9977, 570089.8790, 5.355234e-02, -3.6435, 2.860411e-07, nan, nan, nan, nan, 31.9684, nan
3507936, 8.634686e-02, 2.603437e-01, 0.8662, 570065.1132, -9.295503e-02, -1.3341, 3.261936e-06, 30.8831, 27.6354, 28.7845, 26.9573, 26.4635, 26.0936
7263698, 8.575438e-02, 2.610334e-01, 3.5136, 570097.4849, 4.346194e-01, 3.3698, 1.107846e-07, 49.5549, 49.2272, 45.7316, 43.5410, 41.1276, 38.2782
12137579, 8.574557e-02, 2.609581e-01, 0.6338, 570091.4656, -2.087904e-01, -1.9916, 1.065111e-05, 26.0162, 27.9619, 25.7991, 24.9847, 24.2523, 24.1609
13528742, 8.572480e-02, 2.604360e-01, 1.1066, 570148.8763, -2.844646e-01, -0.7448, 1.594557e-06, 24.7045, 24.6495, 25.3903, 25.0303, 24.7104, 24.9816
2442775, 8.573487e-02, 2.605085e-01, 3.0565, 570131.1740, -1.608110e-01, -1.6251, 1.561638e-07, 37.0038, 30.3218, 28.9453, 28.7314, 28.7941, 29.2730
7010511, 8.569354e-02, 2.638673e-01, 0.6865, 570100.8358, -1.543436e-01, -0.7837, 1.160999e-05, 26.5680, 25.6412, 24.8852, 24.0159, 23.5531, 23.3566
8481405, 8.582894e-02, 2.639030e-01, 1.0233, 570183.9928, 3.242840e-01, 4.7105, 1.392189e-06, 60.7984, 54.7991, 51.7607, nan, 49.7435, 49.6162
3672602, 8.635593e-02, 2.602747e-01, 1.4364, 570156.9855, -5.860795e-01, -2.1242, 7.300005e-07, 18.9436, 20.1718, 21.3504, nan, 26.2900, 25.9907
7817980, 8.632466e-02, 2.607879e-01, 0.5876, 570078.4318, 1.801572e-02, -1.1153, 7.661675e-06, 29.3141, 27.9161, 26.3501, 25.6134, 24.6674, 24.7616
17081836, 8.944301e-02, 2.632862e-01, 2.1173, 570139.3507, 2.558385e-01, 4.4156, 2.576093e-07, 38.4903, 37.1935, 34.4332, 31.2090, 29.1299, 27.5192
