#snid, snra, sndec, z, t0, c, x1, x0, mag_u, mag_g, mag_r, mag_i, mag_z, mag_y
7263698, 8.575438e-02, 2.610334e-01, 3.5136, 570097.4849, 4.346194e-01, 3.3698, 1.107846e-07, nan, nan, nan, nan, nan, nan
12137579, 8.574557e-02, 2.609581e-01, 0.6338, 570091.4656, -2.087904e-01, -1.9916, 1.065111e-05, 25.8589, 25.5933, 26.1486, 25.6405, 25.0302, 25.2214
101379, 8.586001e-02, 2.608611e-01, 0.4179, 570236.2527, -2.209909e-01, 1.6359, 1.552205e-05, 48.1362, nan, 48.7918, 49.0497, 49.1628, 48.7094
9202044, 8.578756e-02, 2.609514e-01, 2.2909, 570075.0486, 2.474262e-01, 0.9735, 2.344067e-07, 43.2230, 41.6972, 39.1695, 35.4988, 33.6053, 32.8875
10342097, 8.896703e-02, 2.607238e-01, 1.1275, 570117.6414, -5.517173e-01, 5.7414, 1.414066e-06, nan, nan, nan, 25.2881, 24.6918, 24.9630
15816490, 8.908595e-02, 2.605999e-01, 1.2994, 570159.3817, 1.517792e-01, 3.7115, 1.202910e-06, 33.3738, 30.8794, 27.4825, 25.5554, 24.6306, 24.3966
45616, 8.534903e-02, 2.609907e-01, 0.5016, 570132.2989, 9.148908e-02, 2.7805, 7.349031e-06, 27.9594, 25.5853, 23.7181, 23.4156, 23.3753, 23.6779
2045958, 8.533871e-02, 2.607300e-01, 1.9977, 570089.8790, 5.355234e-02, -3.6435, 2.860411e-07, nan, nan, 31.8922, 30.1300, 29.4568, 32.2065
7194718, 8.614067e-02, 2.608921e-01, 1.4113, 570146.8280, 7.072162e-02, -4.6059, 9.211602e-07, 33.0805, 31.3130, 29.6243, 27.7597, 25.8432, 24.8580
17357122, 8.548443e-02, 2.606276e-01, 2.5711, 570233.6168, 3.961262e-02, -0.5245, 1.621600e-07, nan, nan, nan, nan, nan, nan
6425989, 8.953957e-02, 2.604068e-01, 0.3384, 570194.4992, 5.301086e-01, -1.1888, 3.210934e-05, nan, nan, nan, 49.4799, 48.4939, 48.0178
6065274, 8.584370e-02, 2.612235e-01, 0.6203, 570158.2482, -2.207928e-01, -0.5361, 7.394601e-06, 24.6756, 23.8991, 22.9842, 23.0925, 23.2497, 23.3949
16574467, 8.487367e-02, 2.612660e-01, 1.9944, 570146.8390, -1.499786e-01, -5.2141, 3.448102e-07, 30.3728, 28.9374, 28.2775, 28.1755, 28.5312, 27.6394
