,id,mjd,snid,snra,sndec,z,t0,c,x1,x0,mag_u,mag_g,mag_r,mag_i,mag_z,mag_y
1,obshist1,570123.15,13594393,0.08733732,0.2618793,1.2629,570085.888,0.107433,0.2547,1.259678e-06,38.4625,,32.0033,27.5594,26.1978,25.7947
6,obshist1,570126.15,13594393,0.08733732,0.2618793,1.2629,570085.888,0.107433,0.2547,1.259678e-06,,,,27.6772,26.3825,25.9509
11,obshist1,570129.15,13594393,0.08733732,0.2618793,1.2629,570085.888,0.107433,0.2547,1.259678e-06,,,,27.8174,26.5585,26.1067
16,obshist1,570132.15,13594393,0.08733732,0.2618793,1.2629,570085.888,0.107433,0.2547,1.259678e-06,,,,27.9973,26.7075,26.2556
22,obshist1,570135.15,13594393,0.08733732,0.2618793,1.2629,570085.888,0.107433,0.2547,1.259678e-06,36.9729,,32.4494,28.2108,26.8272,26.3928
28,obshist1,570138.15,13594393,0.08733732,0.2618793,1.2629,570085.888,0.107433,0.2547,1.259678e-06,36.2037,34.4994,31.5738,28.4175,26.9479,26.5246
34,obshist1,570141.15,13594393,0.08733732,0.2618793,1.2629,570085.888,0.107433,0.2547,1.259678e-06,35.9433,34.3641,31.2767,28.6006,27.0722,26.6486
40,obshist1,570144.15,13594393,0.08733732,0.2618793,1.2629,570085.888,0.107433,0.2547,1.259678e-06,35.8752,37.3349,31.1733,28.7507,27.1982,26.7629
45,obshist1,570147.15,13594393,0.08733732,0.2618793,1.2629,570085.888,0.107433,0.2547,1.259678e-06,35.9375,,31.1305,28.8692,27.3214,26.8697
50,obshist1,570150.15,13594393,0.08733732,0.2618793,1.2629,570085.888,0.107433,0.2547,1.259678e-06,36.1825,,31.1216,28.9553,27.4406,26.9702
55,obshist1,570153.15,13594393,0.08733732,0.2618793,1.2629,570085.888,0.107433,0.2547,1.259678e-06,36.4215,,31.1255,29.0092,27.5561,27.0644
60,obshist1,570156.15,13594393,0.08733732,0.2618793,1.2629,570085.888,0.107433,0.2547,1.259678e-06,36.6391,,31.1394,29.0326,27.6685,27.1529
65,obshist1,570159.15,13594393,0.08733732,0.2618793,1.2629,570085.888,0.107433,0.2547,1.259678e-06,36.7519,,31.1862,29.0495,27.7684,27.2334
70,obshist1,570162.15,13594393,0.08733732,0.2618793,1.2629,570085.888,0.107433,0.2547,1.259678e-06,36.866,,31.2907,29.0749,27.8477,27.3041
75,obshist1,570165.15,13594393,0.08733732,0.2618793,1.2629,570085.888,0.107433,0.2547,1.259678e-06,36.9759,,31.4605,29.1078,27.9055,27.3648
80,obshist1,570168.15,13594393,0.08733732,0.2618793,1.2629,570085.888,0.107433,0.2547,1.259678e-06,37.0607,,31.7203,29.1479,27.9415,27.4154
86,obshist2,570171.15,13594393,0.08733732,0.2618793,1.2629,570085.888,0.107433,0.2547,1.259678e-06,37.1378,,32.1348,29.1949,27.9567,27.4559
89,obshist0,570174.15,13594393,0.08733732,0.2618793,1.2629,570085.888,0.107433,0.2547,1.259678e-06,37.2108,,32.9112,29.2478,27.9549,27.4874
95,obshist1,570177.15,13594393,0.08733732,0.2618793,1.2629,570085.888,0.107433,0.2547,1.259678e-06,37.2818,,34.9942,29.2977,27.9619,27.5189
102,obshist3,570180.15,13594393,0.08733732,0.2618793,1.2629,570085.888,0.107433,0.2547,1.259678e-06,37.361,,,29.3418,27.9829,27.5529
