,id,mjd,snid,snra,sndec,z,t0,c,x1,x0,mag_u,mag_g,mag_r,mag_i,mag_z,mag_y
20,obshist5,570132.15,16665499,0.08739263,0.2616689,1.4405,570229.861,0.6571201,-2.221,5.774423e-07,,,,,,
26,obshist5,570135.15,16665499,0.08739263,0.2616689,1.4405,570229.861,0.6571201,-2.221,5.774423e-07,,,,,,
31,obshist4,570138.15,16665499,0.08739263,0.2616689,1.4405,570229.861,0.6571201,-2.221,5.774423e-07,,,,,,
38,obshist5,570141.15,16665499,0.08739263,0.2616689,1.4405,570229.861,0.6571201,-2.221,5.774423e-07,,,,,,
43,obshist4,570144.15,16665499,0.08739263,0.2616689,1.4405,570229.861,0.6571201,-2.221,5.774423e-07,,,,,,
48,obshist4,570147.15,16665499,0.08739263,0.2616689,1.4405,570229.861,0.6571201,-2.221,5.774423e-07,,,,,,
53,obshist4,570150.15,16665499,0.08739263,0.2616689,1.4405,570229.861,0.6571201,-2.221,5.774423e-07,,,,,,
58,obshist4,570153.15,16665499,0.08739263,0.2616689,1.4405,570229.861,0.6571201,-2.221,5.774423e-07,,,,,,
63,obshist4,570156.15,16665499,0.08739263,0.2616689,1.4405,570229.861,0.6571201,-2.221,5.774423e-07,,,,,,
68,obshist4,570159.15,16665499,0.08739263,0.2616689,1.4405,570229.861,0.6571201,-2.221,5.774423e-07,,,,,,
73,obshist4,570162.15,16665499,0.08739263,0.2616689,1.4405,570229.861,0.6571201,-2.221,5.774423e-07,,,,,,
78,obshist4,570165.15,16665499,0.08739263,0.2616689,1.4405,570229.861,0.6571201,-2.221,5.774423e-07,,,,,,
83,obshist4,570168.15,16665499,0.08739263,0.2616689,1.4405,570229.861,0.6571201,-2.221,5.774423e-07,,,,,,
88,obshist4,570171.15,16665499,0.08739263,0.2616689,1.4405,570229.861,0.6571201,-2.221,5.774423e-07,,,,,,
93,obshist4,570174.15,16665499,0.08739263,0.2616689,1.4405,570229.861,0.6571201,-2.221,5.774423e-07,,,,,,
98,obshist4,570177.15,16665499,0.08739263,0.2616689,1.4405,570229.861,0.6571201,-2.221,5.774423e-07,,,,,,
101,obshist2,570180.15,16665499,0.08739263,0.2616689,1.4405,570229.861,0.6571201,-2.221,5.774423e-07,,,,,,
