,id,mjd,snid,snra,sndec,z,t0,c,x1,x0,mag_u,mag_g,mag_r,mag_i,mag_z,mag_y
0,obshist0,570123.15,5918577,0.08710861,0.2616236,0.449,570192.8643,-0.09954857,-0.1006,1.803577e-05,,,,49.6068,49.5398,49.2356
5,obshist0,570126.15,5918577,0.08710861,0.2616236,0.449,570192.8643,-0.09954857,-0.1006,1.803577e-05,,,,49.6068,49.5398,49.2356
10,obshist0,570129.15,5918577,0.08710861,0.2616236,0.449,570192.8643,-0.09954857,-0.1006,1.803577e-05,,,,49.6068,49.5398,49.2356
15,obshist0,570132.15,5918577,0.08710861,0.2616236,0.449,570192.8643,-0.09954857,-0.1006,1.803577e-05,,,,49.6068,49.5398,49.2356
21,obshist0,570135.15,5918577,0.08710861,0.2616236,0.449,570192.8643,-0.09954857,-0.1006,1.803577e-05,,,,49.6068,49.5398,49.2356
27,obshist0,570138.15,5918577,0.08710861,0.2616236,0.449,570192.8643,-0.09954857,-0.1006,1.803577e-05,,,,49.6068,49.5398,49.2356
33,obshist0,570141.15,5918577,0.08710861,0.2616236,0.449,570192.8643,-0.09954857,-0.1006,1.803577e-05,,,,49.6068,49.5398,49.2356
39,obshist0,570144.15,5918577,0.08710861,0.2616236,0.449,570192.8643,-0.09954857,-0.1006,1.803577e-05,,,,49.6068,49.5398,49.2356
44,obshist0,570147.15,5918577,0.08710861,0.2616236,0.449,570192.8643,-0.09954857,-0.1006,1.803577e-05,,,,49.6068,49.5398,49.2356
49,obshist0,570150.15,5918577,0.08710861,0.2616236,0.449,570192.8643,-0.09954857,-0.1006,1.803577e-05,,,,49.6068,49.5398,49.2356
54,obshist0,570153.15,5918577,0.08710861,0.2616236,0.449,570192.8643,-0.09954857,-0.1006,1.803577e-05,,,,49.6068,49.5398,49.2356
59,obshist0,570156.15,5918577,0.08710861,0.2616236,0.449,570192.8643,-0.09954857,-0.1006,1.803577e-05,,,,49.6068,49.5398,49.2356
64,obshist0,570159.15,5918577,0.08710861,0.2616236,0.449,570192.8643,-0.09954857,-0.1006,1.803577e-05,,,,49.6068,49.5398,49.2356
69,obshist0,570162.15,5918577,0.08710861,0.2616236,0.449,570192.8643,-0.09954857,-0.1006,1.803577e-05,,,,49.6068,49.5398,49.2356
74,obshist0,570165.15,5918577,0.08710861,0.2616236,0.449,570192.8643,-0.09954857,-0.1006,1.803577e-05,,,,29.8278,29.7591,29.4532
79,obshist0,570168.15,5918577,0.08710861,0.2616236,0.449,570192.8643,-0.09954857,-0.1006,1.803577e-05,,,,27.0805,27.0116,26.7056
84,obshist0,570171.15,5918577,0.08710861,0.2616236,0.449,570192.8643,-0.09954857,-0.1006,1.803577e-05,29.7865,29.2886,25.4511,25.185,25.2487,25.1077
91,obshist2,570174.15,5918577,0.08710861,0.2616236,0.449,570192.8643,-0.09954857,-0.1006,1.803577e-05,26.6308,25.0089,23.9228,24.014,24.1307,24.0708
94,obshist0,570177.15,5918577,0.08710861,0.2616236,0.449,570192.8643,-0.09954857,-0.1006,1.803577e-05,25.8452,24.064,23.1856,23.3664,23.4811,23.4608
99,obshist0,570180.15,5918577,0.08710861,0.2616236,0.449,570192.8643,-0.09954857,-0.1006,1.803577e-05,25.5489,23.4873,22.7087,22.9305,23.023,23.0352
