,id,mjd,snid,snra,sndec,z,t0,c,x1,x0,mag_u,mag_g,mag_r,mag_i,mag_z,mag_y
4,obshist4,570123.15,10846664,0.08738383,0.2620329,2.0446,570091.4752,-0.4859501,-2.6855,1.953237e-07,,,25.3452,24.9905,26.6688,
8,obshist3,570126.15,10846664,0.08738383,0.2620329,2.0446,570091.4752,-0.4859501,-2.6855,1.953237e-07,,,25.8625,25.4403,26.7419,
14,obshist4,570129.15,10846664,0.08738383,0.2620329,2.0446,570091.4752,-0.4859501,-2.6855,1.953237e-07,,,,,27.0573,
19,obshist4,570132.15,10846664,0.08738383,0.2620329,2.0446,570091.4752,-0.4859501,-2.6855,1.953237e-07,,,,,27.6249,
25,obshist4,570135.15,10846664,0.08738383,0.2620329,2.0446,570091.4752,-0.4859501,-2.6855,1.953237e-07,,,,,27.9932,
30,obshist3,570138.15,10846664,0.08738383,0.2620329,2.0446,570091.4752,-0.4859501,-2.6855,1.953237e-07,,,,,27.7827,
36,obshist3,570141.15,10846664,0.08738383,0.2620329,2.0446,570091.4752,-0.4859501,-2.6855,1.953237e-07,,,,,27.1652,
42,obshist3,570144.15,10846664,0.08738383,0.2620329,2.0446,570091.4752,-0.4859501,-2.6855,1.953237e-07,,,25.5446,25.1582,26.6076,29.4676
47,obshist3,570147.15,10846664,0.08738383,0.2620329,2.0446,570091.4752,-0.4859501,-2.6855,1.953237e-07,,,24.7219,24.3779,26.3365,28.8211
52,obshist3,570150.15,10846664,0.08738383,0.2620329,2.0446,570091.4752,-0.4859501,-2.6855,1.953237e-07,,,24.5585,24.2452,26.299,28.6008
57,obshist3,570153.15,10846664,0.08738383,0.2620329,2.0446,570091.4752,-0.4859501,-2.6855,1.953237e-07,,,24.7503,24.518,26.4688,28.6012
62,obshist3,570156.15,10846664,0.08738383,0.2620329,2.0446,570091.4752,-0.4859501,-2.6855,1.953237e-07,,,25.417,25.5438,26.9041,28.7782
67,obshist3,570159.15,10846664,0.08738383,0.2620329,2.0446,570091.4752,-0.4859501,-2.6855,1.953237e-07,28.844,28.8747,26.5003,,27.5061,28.9925
72,obshist3,570162.15,10846664,0.08738383,0.2620329,2.0446,570091.4752,-0.4859501,-2.6855,1.953237e-07,26.0197,26.0517,27.1243,,28.1204,29.1587
77,obshist3,570165.15,10846664,0.08738383,0.2620329,2.0446,570091.4752,-0.4859501,-2.6855,1.953237e-07,25.5058,25.5363,26.3152,,28.5223,29.2672
82,obshist3,570168.15,10846664,0.08738383,0.2620329,2.0446,570091.4752,-0.4859501,-2.6855,1.953237e-07,25.3059,25.3348,25.437,26.6946,28.4103,29.312
85,obshist1,570171.15,10846664,0.08738383,0.2620329,2.0446,570091.4752,-0.4859501,-2.6855,1.953237e-07,25.2367,25.2638,24.9203,25.3187,28.0663,29.3505
92,obshist3,570174.15,10846664,0.08738383,0.2620329,2.0446,570091.4752,-0.4859501,-2.6855,1.953237e-07,25.3031,25.3302,24.7194,24.9245,27.7927,29.4714
97,obshist3,570177.15,10846664,0.08738383,0.2620329,2.0446,570091.4752,-0.4859501,-2.6855,1.953237e-07,25.5525,25.5828,24.6698,24.7701,27.5596,29.6851
100,obshist1,570180.15,10846664,0.08738383,0.2620329,2.0446,570091.4752,-0.4859501,-2.6855,1.953237e-07,25.8112,25.8448,24.7015,24.7447,27.3589,30.0323
