,id,mjd,snid,snra,sndec,z,t0,c,x1,x0,mag_u,mag_g,mag_r,mag_i,mag_z,mag_y
3,obshist3,570123.15,16017454,0.08712786,0.2618275,2.2612,570041.5569,-0.1105051,2.3374,2.376238e-07,35.7081,33.3824,35.2251,,30.2884,32.0636
9,obshist4,570126.15,16017454,0.08712786,0.2618275,2.2612,570041.5569,-0.1105051,2.3374,2.376238e-07,35.6632,33.2952,,,,31.1651
13,obshist3,570129.15,16017454,0.08712786,0.2618275,2.2612,570041.5569,-0.1105051,2.3374,2.376238e-07,35.714,33.3147,,,,30.759
18,obshist3,570132.15,16017454,0.08712786,0.2618275,2.2612,570041.5569,-0.1105051,2.3374,2.376238e-07,35.947,33.5123,,,,30.5211
24,obshist3,570135.15,16017454,0.08712786,0.2618275,2.2612,570041.5569,-0.1105051,2.3374,2.376238e-07,36.2317,33.7579,,,,30.3689
32,obshist5,570138.15,16017454,0.08712786,0.2618275,2.2612,570041.5569,-0.1105051,2.3374,2.376238e-07,36.5327,34.0197,,,,30.2699
37,obshist4,570141.15,16017454,0.08712786,0.2618275,2.2612,570041.5569,-0.1105051,2.3374,2.376238e-07,36.8578,34.3101,,,,30.2068
